EXPECEDU_BACHELORS,Growth_str_agree,Growth_agree,Growth_disagree,LANG_of_test,Grade_9,Grade_10,Female,CNTSTUID,BELONG,BULLIED,ESCS,FAMSUP
1.0,0.0,0,0.0,1.0,0,1,0.0,84000002,-0.338,-1.228,1.2582,0.0488
0.0,0.0,0,1.0,1.0,0,1,0.0,84000003,0.6428,-1.228,0.3488,-0.5726
,0.0,0,0.0,1.0,0,1,0.0,84000004,-0.3397,-1.228,1.3463,-0.0759
0.0,0.0,1,0.0,1.0,0,1,1.0,84000005,-0.4867,0.845,-1.3108,-0.3054
1.0,0.0,0,1.0,1.0,0,0,1.0,84000006,2.7562,0.379,-0.9745,-0.896
1.0,0.0,1,0.0,1.0,0,1,1.0,84000008,-0.3261,0.2289,1.1127,1.562
1.0,0.0,0,1.0,1.0,0,1,0.0,84000009,-0.9024,1.4747,0.801,-2.8015
1.0,0.0,0,0.0,1.0,0,1,1.0,84000011,-0.3485,-1.228,0.7473,-0.0084
,0.0,0,1.0,1.0,0,0,1.0,84000014,0.5159,-1.228,1.1772,0.7546
1.0,0.0,1,0.0,1.0,0,1,0.0,84000015,0.3576,1.3249,0.8877,-0.1398
0.0,0.0,0,0.0,1.0,0,1,0.0,84000016,-0.4798,-0.1325,0.1055,-0.147
0.0,0.0,1,0.0,1.0,0,1,1.0,84000019,-0.2482,0.6451,-0.5548,-0.9859
0.0,0.0,1,0.0,1.0,0,1,1.0,84000021,-0.9555,0.0626,-0.2746,-0.3362
,0.0,0,1.0,1.0,0,1,0.0,84000023,-0.2482,-1.228,0.9744,0.4491
,,0,,,0,1,0.0,84000025,,,,
,0.0,0,0.0,0.0,0,1,1.0,84000026,-1.3367,0.263,-0.0577,
,0.0,0,1.0,1.0,0,1,1.0,84000027,2.1143,-1.228,0.7194,1.6009
,0.0,1,0.0,1.0,0,0,1.0,84000029,-0.4986,-1.228,-0.7053,-0.0272
1.0,0.0,0,1.0,1.0,0,0,1.0,84000031,-0.8251,-0.3264,0.5333,-0.5174
,0.0,0,0.0,1.0,0,1,1.0,84000034,-1.0968,1.0298,0.4709,-0.1762
0.0,0.0,1,0.0,0.0,0,0,1.0,84000036,-0.47,-1.228,-1.7164,-0.6946
,0.0,0,1.0,1.0,0,1,1.0,84000037,-1.5848,1.7523,-0.3988,1.4365
1.0,0.0,0,1.0,1.0,0,1,0.0,84000038,0.0342,1.2779,0.5608,-0.6769
1.0,0.0,0,0.0,1.0,0,1,1.0,84000039,1.0246,-0.1879,0.6507,1.6382
1.0,0.0,0,1.0,1.0,0,1,1.0,84000041,-0.7711,0.6616,-0.1407,-0.3542
0.0,0.0,1,0.0,0.0,0,1,1.0,84000043,0.3379,-0.3264,-0.271,0.1757
,0.0,0,0.0,1.0,0,1,0.0,84000044,,,0.8198,
,0.0,0,0.0,,0,1,0.0,84000045,,,,
0.0,0.0,0,1.0,0.0,0,1,0.0,84000048,-0.3397,-1.228,-1.5856,-0.0078
1.0,0.0,0,1.0,1.0,0,1,0.0,84000052,-0.6898,0.2289,0.0164,-0.5865
1.0,0.0,0,0.0,1.0,0,1,1.0,84000054,-0.1253,0.9078,1.3734,0.0884
0.0,0.0,0,1.0,1.0,0,1,0.0,84000055,-0.4986,0.0959,0.51,0.9785
,0.0,0,0.0,1.0,0,1,0.0,84000056,-0.4814,-1.228,1.2095,1.7442
0.0,0.0,1,0.0,,0,1,0.0,84000057,-2.435,-1.228,0.644,-1.5495
1.0,0.0,0,0.0,1.0,0,1,1.0,84000058,1.4683,-1.228,0.5728,1.8563
1.0,0.0,1,0.0,1.0,1,0,1.0,84000060,-0.6045,0.3631,0.0308,1.8661
1.0,0.0,0,1.0,0.0,0,1,1.0,84000061,-0.2097,-1.228,1.6588,-0.7428
1.0,0.0,0,0.0,0.0,0,1,0.0,84000063,-0.4798,-1.228,-1.9211,-0.2844
1.0,0.0,0,1.0,1.0,1,0,0.0,84000064,2.7562,-1.228,1.0914,0.1628
1.0,0.0,0,1.0,1.0,0,0,1.0,84000071,-1.1045,-1.228,0.6094,-1.0043
,0.0,0,0.0,1.0,1,0,1.0,84000072,-0.8878,0.8171,-0.636,1.5941
1.0,0.0,0,0.0,0.0,0,1,0.0,84000073,-1.6485,-1.228,-3.3724,-0.0066
